year,month,country,region,student_ai_usage_pct,teacher_ai_usage_pct,schools_ai_adoption_pct,avg_daily_ai_usage_min,top_ai_tool,internet_penetration_pct,education_index,government_ai_policy,urban_ai_usage_pct,rural_ai_usage_pct,ai_in_curriculum,gender_gap_ai_usage_pct,policy_id,policy_name,policy_type,policy_domain,policy_status,policy_year,policy_restrictiveness_score,policy_maturity_score,ethical_alignment_score,implementation_strength,regulatory_risk_level,ai_investment_index,ai_research_output,policy_sentiment,amendment_count,compliance_score,alert_flag,policy_version,country_code,continent,policy_source,publishing_authority,publication_date,effective_date,review_date,volatility_score,enforcement_strength,expert_review_score,comment_count,discussion_status,last_updated,alert_date
2018,5,United States,North America,24,23,15,12,Microsoft Copilot,90,0.9,Draft,26,11,Yes,2,AIP-00401,AI Framework 1,Strategy,Education,Active,2018,3,75,65,Weak,Low,61,2891,Neutral,2,82,No Alert,v1.2,UNI,North America,Legal Database,Digital Affairs Agency,2018-06-17,2018-08-12,2019-08-29,92,Low,76,22,Under Review,2020-01-14,2018-08-15
2018,5,United Kingdom,Europe,24,18,20,50,Khanmigo,92,0.91,Draft,26,10,No,4,AIP-00402,AI Framework 2,Legislation,Transparency,Active,2022,1,67,73,Moderate,High,84,1926,Neutral,6,57,No Alert,v2.7,UNI,Africa,AI Ethics Board,Data Protection Authority,2022-05-20,2022-07-12,2024-03-24,32,Medium,53,16,Open,2024-04-14,2022-05-22
2018,5,China,Asia,15,21,20,42,Google Gemini,70,0.75,Draft,16,4,No,10,AIP-00403,AI Framework 3,Legislation,Governance,Repealed,2022,10,51,59,Weak,Low,62,3255,Neutral,2,54,New Policy,v1.5,CHI,North America,Regulatory Authority,Data Protection Authority,2022-03-19,2022-06-22,2025-02-06,27,Low,62,8,Under Review,2022-06-25,2022-05-23
2018,5,India,Asia,25,19,17,26,Microsoft Copilot,50,0.64,Active,29,10,Yes,6,AIP-00404,AI Framework 4,Legislation,Data Privacy,Active,2024,4,74,84,Weak,Medium,58,2532,Restrictive,2,71,New Policy,v2.3,IND,Europe,AI Ethics Board,Digital Affairs Agency,2024-11-19,2025-05-07,2026-02-08,96,Medium,86,43,Closed,2025-03-13,2024-12-24
2018,5,Germany,Europe,16,18,22,34,Google Gemini,93,0.94,Draft,16,1,No,5,AIP-00405,AI Framework 5,Regulation,Education,Repealed,2020,9,57,54,Moderate,Medium,68,3198,Restrictive,7,50,No Alert,v1.0,GER,Asia,AI Ethics Board,Digital Affairs Agency,2020-07-04,2020-11-01,2021-12-31,61,Medium,82,37,Open,2021-08-24,2020-10-19
2018,5,Brazil,South America,17,20,20,11,Khanmigo,75,0.7,Active,22,8,No,3,AIP-00406,AI Framework 6,Guidance,Data Privacy,Draft,2024,7,58,52,Strong,Low,98,2951,Restrictive,2,45,New Policy,v3.6,BRA,North America,AI Ethics Board,AI Commission,2024-04-16,2024-07-12,2027-04-01,67,Medium,67,45,Under Review,2025-11-19,2024-08-08
2018,5,Pakistan,Asia,20,21,20,22,Google Gemini,45,0.55,Draft,24,11,Yes,10,AIP-00407,AI Framework 7,Legislation,Transparency,Active,2021,7,55,58,Moderate,High,83,1069,Supportive,6,51,No Alert,v3.2,PAK,Africa,Legal Database,AI Commission,2021-06-01,2021-06-21,2023-04-02,51,Medium,74,50,Open,2023-05-09,2021-06-10
2018,5,Nigeria,Africa,19,23,19,35,Khanmigo,42,0.52,Draft,20,11,Yes,1,AIP-00408,AI Framework 8,Strategy,Ethics,Active,2024,8,45,35,Strong,High,32,3473,Restrictive,6,43,No Alert,v1.5,NIG,North America,AI Ethics Board,Data Protection Authority,2024-01-13,2024-05-21,2025-10-21,31,Low,69,30,Closed,2025-01-14,2024-01-18
2018,5,Canada,North America,15,23,21,27,Microsoft Copilot,94,0.92,Draft,15,2,Yes,7,AIP-00409,AI Framework 9,Legislation,Transparency,Active,2021,3,73,64,Moderate,Medium,35,4795,Restrictive,5,59,New Policy,v3.7,CAN,Europe,Legal Database,Data Protection Authority,2021-12-29,2022-05-20,2024-08-16,86,Low,99,15,Open,2023-04-06,2022-02-12
2018,5,Australia,Oceania,23,17,19,51,Khanmigo,96,0.93,Active,28,14,Yes,3,AIP-00410,AI Framework 10,Legislation,Data Privacy,Active,2021,3,40,47,Moderate,High,48,2800,Supportive,7,50,No Alert,v2.4,AUS,Europe,Government Portal,Digital Affairs Agency,2021-11-05,2021-12-02,2024-01-19,53,High,59,40,Under Review,2023-08-08,2022-02-08
2018,6,United States,North America,16,15,21,21,ChatGPT,90,0.9,,17,9,No,4,AIP-00411,AI Framework 11,Regulation,Governance,Repealed,2019,10,46,56,Weak,Medium,41,3055,Restrictive,7,52,No Alert,v2.2,UNI,Asia,Legal Database,Digital Affairs Agency,2019-04-13,2019-04-29,2020-11-10,44,Low,82,48,Under Review,2019-10-04,2019-05-25
2018,6,United Kingdom,Europe,15,16,18,35,Microsoft Copilot,92,0.91,Draft,15,1,No,1,AIP-00412,AI Framework 12,Guidance,Data Privacy,Draft,2025,7,48,46,Weak,High,79,3566,Supportive,0,42,No Alert,v1.2,UNI,Europe,Regulatory Authority,Data Protection Authority,2025-09-14,2025-12-08,2028-01-18,16,Medium,88,32,Under Review,2026-08-21,2025-12-18
2018,6,China,Asia,18,18,15,56,ChatGPT,70,0.75,,21,9,No,6,AIP-00413,AI Framework 13,Legislation,Education,Active,2018,3,50,50,Moderate,High,100,468,Supportive,1,36,New Policy,v2.7,CHI,Asia,Government Portal,Data Protection Authority,2018-07-03,2018-08-25,2020-03-09,36,Medium,62,7,Under Review,2020-03-31,2018-10-01
2018,6,India,Asia,18,23,17,14,Khanmigo,50,0.64,,23,5,No,7,AIP-00414,AI Framework 14,Strategy,Data Privacy,Active,2020,7,44,45,Strong,Medium,66,796,Supportive,3,50,No Alert,v3.8,IND,Europe,Legal Database,Data Protection Authority,2020-02-14,2020-03-08,2021-03-27,96,Low,56,37,Closed,2020-11-21,2020-06-10
2018,6,Germany,Europe,19,20,19,40,Google Gemini,93,0.94,Draft,19,8,No,1,AIP-00415,AI Framework 15,Guidance,Transparency,Repealed,2021,4,40,32,Weak,High,92,2812,Neutral,5,25,Amendment,v2.9,GER,Oceania,Government Portal,Data Protection Authority,2021-07-14,2021-10-09,2022-12-20,38,Medium,93,47,Under Review,2022-02-08,2021-09-18
2018,6,Brazil,South America,25,18,21,9,ChatGPT,75,0.7,,30,10,No,7,AIP-00416,AI Framework 16,Regulation,Education,Repealed,2019,9,64,58,Moderate,Medium,55,2003,Supportive,2,62,No Alert,v3.8,BRA,Oceania,AI Ethics Board,Ministry of Technology,2019-08-25,2020-02-14,2021-04-19,41,Low,63,48,Under Review,2020-10-03,2019-12-09
2018,6,Pakistan,Asia,22,16,22,18,Google Gemini,45,0.55,Draft,24,16,Yes,10,AIP-00417,AI Framework 17,Guidance,Data Privacy,Active,2026,6,74,70,Strong,Medium,75,3475,Neutral,5,65,Amendment,v1.6,PAK,Africa,Legal Database,Digital Affairs Agency,2026-02-09,2026-07-28,2027-09-02,100,Medium,78,11,Under Review,2026-08-07,2026-04-19
2018,6,Nigeria,Africa,16,17,18,5,Khanmigo,42,0.52,Active,21,2,Yes,5,AIP-00418,AI Framework 18,Regulation,Data Privacy,Draft,2021,4,44,51,Strong,Medium,76,4570,Restrictive,7,36,Amendment,v1.8,NIG,Oceania,Regulatory Authority,Ministry of Technology,2021-05-30,2021-08-04,2023-07-11,55,High,61,42,Closed,2022-04-02,2021-09-10
2018,6,Canada,North America,17,18,18,37,Google Gemini,94,0.92,Active,21,11,Yes,1,AIP-00419,AI Framework 19,Legislation,Governance,Repealed,2020,7,50,49,Moderate,Medium,43,3922,Neutral,0,58,No Alert,v1.3,CAN,Europe,Legal Database,Ministry of Technology,2020-10-26,2020-12-29,2023-02-10,31,High,60,2,Under Review,2021-07-25,2020-11-26
2018,6,Australia,Oceania,17,21,18,9,Microsoft Copilot,96,0.93,Active,18,10,Yes,4,AIP-00420,AI Framework 20,Legislation,Data Privacy,Active,2020,8,58,63,Strong,Medium,79,1123,Supportive,6,52,Amendment,v1.8,AUS,North America,Regulatory Authority,Ministry of Technology,2020-10-10,2021-04-07,2022-05-14,72,Low,96,4,Closed,2021-05-08,2020-12-24
2018,7,United States,North America,19,23,16,38,Khanmigo,90,0.9,Active,23,13,No,7,AIP-00421,AI Framework 21,Strategy,Education,Active,2019,4,73,67,Moderate,Low,63,1570,Neutral,3,65,No Alert,v2.4,UNI,Asia,Regulatory Authority,Data Protection Authority,2019-12-02,2020-02-04,2021-07-09,3,High,79,10,Closed,2020-11-16,2020-02-21
2018,7,United Kingdom,Europe,19,17,20,16,Google Gemini,92,0.91,,20,4,Yes,5,AIP-00422,AI Framework 22,Strategy,Ethics,Active,2023,8,64,74,Moderate,Medium,66,761,Restrictive,7,58,Amendment,v3.5,UNI,North America,Regulatory Authority,AI Commission,2023-03-04,2023-04-17,2025-12-03,4,Medium,95,48,Under Review,2023-08-06,2023-03-18
2018,7,China,Asia,15,17,21,47,ChatGPT,70,0.75,Active,20,0,Yes,8,AIP-00423,AI Framework 23,Regulation,Education,Active,2022,3,67,75,Strong,Medium,40,533,Neutral,5,56,No Alert,v2.1,CHI,South America,AI Ethics Board,AI Commission,2022-12-12,2023-01-20,2025-04-23,51,High,77,36,Open,2024-05-25,2023-02-22
2018,7,India,Asia,22,17,15,8,ChatGPT,50,0.64,Active,27,11,Yes,5,AIP-00424,AI Framework 24,Regulation,Transparency,Active,2020,3,60,59,Weak,Low,45,3736,Neutral,0,68,No Alert,v2.4,IND,North America,AI Ethics Board,Digital Affairs Agency,2020-03-20,2020-05-06,2021-09-19,83,High,93,26,Open,2022-01-08,2020-04-11
2018,7,Germany,Europe,21,16,19,7,Microsoft Copilot,93,0.94,Draft,24,10,No,4,AIP-00425,AI Framework 25,Guidance,Data Privacy,Active,2025,9,55,49,Strong,Low,89,3475,Restrictive,7,55,No Alert,v2.3,GER,Africa,Government Portal,Data Protection Authority,2025-10-11,2025-12-26,2027-11-28,21,Medium,56,46,Open,2027-06-13,2025-10-24
2018,7,Brazil,South America,21,18,19,11,Google Gemini,75,0.7,Draft,21,8,Yes,4,AIP-00426,AI Framework 1,Regulation,Education,Draft,2023,7,47,57,Moderate,Low,70,1012,Neutral,0,38,Amendment,v3.3,BRA,North America,Government Portal,AI Commission,2023-10-20,2024-03-06,2026-05-28,59,High,79,34,Under Review,2024-07-26,2024-02-15
2018,7,Pakistan,Asia,17,21,20,42,Khanmigo,45,0.55,,22,3,Yes,8,AIP-00427,AI Framework 2,Strategy,Governance,Draft,2021,1,71,77,Strong,Medium,30,3538,Neutral,2,65,No Alert,v2.5,PAK,North America,Regulatory Authority,Data Protection Authority,2021-12-27,2022-05-06,2023-02-24,14,Medium,55,49,Closed,2023-04-17,2022-04-12
2018,7,Nigeria,Africa,18,23,17,26,Microsoft Copilot,42,0.52,Draft,18,4,Yes,1,AIP-00428,AI Framework 3,Regulation,Education,Active,2022,7,68,68,Strong,Low,64,2315,Supportive,4,83,No Alert,v1.8,NIG,Africa,Government Portal,AI Commission,2022-07-06,2022-08-20,2024-06-07,96,Medium,62,23,Closed,2023-11-29,2022-10-05
2018,7,Canada,North America,15,21,19,56,Khanmigo,94,0.92,Active,15,1,No,3,AIP-00429,AI Framework 4,Regulation,Transparency,Draft,2023,4,40,35,Moderate,Low,70,4386,Restrictive,7,42,New Policy,v1.8,CAN,Africa,Regulatory Authority,Ministry of Technology,2023-09-19,2024-02-01,2025-01-18,60,Low,67,3,Closed,2025-01-27,2023-09-22
2018,7,Australia,Oceania,19,17,19,25,Khanmigo,96,0.93,Active,20,13,Yes,3,AIP-00430,AI Framework 5,Strategy,Ethics,Active,2019,3,65,68,Weak,Low,84,3573,Supportive,1,71,No Alert,v2.3,AUS,Africa,Regulatory Authority,AI Commission,2019-04-16,2019-07-15,2021-02-10,92,Medium,63,7,Open,2021-04-07,2019-06-09
2018,8,United States,North America,18,16,16,30,Google Gemini,90,0.9,Active,22,13,Yes,1,AIP-00431,AI Framework 6,Strategy,Ethics,Active,2025,5,43,40,Moderate,Low,89,1389,Neutral,4,54,Amendment,v1.7,UNI,Africa,Legal Database,Data Protection Authority,2025-11-10,2025-12-07,2028-05-07,32,Medium,93,48,Closed,2026-02-27,2025-12-26
2018,8,United Kingdom,Europe,24,17,18,29,ChatGPT,92,0.91,Active,24,14,No,3,AIP-00432,AI Framework 7,Regulation,Ethics,Active,2020,5,66,70,Strong,Low,72,2450,Supportive,0,63,Amendment,v2.5,UNI,Europe,AI Ethics Board,Ministry of Technology,2020-07-04,2020-09-18,2021-12-15,85,High,59,14,Open,2022-05-05,2020-09-10
2018,8,China,Asia,19,18,17,55,Khanmigo,70,0.75,Draft,20,8,No,5,AIP-00433,AI Framework 8,Guidance,Transparency,Draft,2018,9,69,76,Moderate,Low,21,1205,Restrictive,2,64,Amendment,v2.3,CHI,Europe,Regulatory Authority,Digital Affairs Agency,2018-03-18,2018-04-19,2019-12-18,54,Low,62,43,Open,2019-04-22,2018-06-19
2018,8,India,Asia,23,23,15,42,Microsoft Copilot,50,0.64,Active,25,15,No,9,AIP-00434,AI Framework 9,Legislation,Transparency,Draft,2022,5,44,44,Strong,Medium,60,4512,Restrictive,2,59,No Alert,v1.9,IND,Asia,AI Ethics Board,Digital Affairs Agency,2022-02-21,2022-08-02,2024-02-06,23,High,63,40,Open,2023-06-22,2022-04-03
2018,8,Germany,Europe,17,20,18,39,Khanmigo,93,0.94,Draft,20,9,Yes,9,AIP-00435,AI Framework 10,Legislation,Governance,Active,2025,3,55,46,Moderate,Medium,36,2596,Restrictive,3,57,Amendment,v3.1,GER,Europe,AI Ethics Board,Digital Affairs Agency,2025-11-08,2025-12-17,2028-06-14,32,Low,76,8,Closed,2026-09-15,2025-12-06
2018,8,Brazil,South America,18,15,16,55,ChatGPT,75,0.7,Active,23,9,Yes,1,AIP-00436,AI Framework 11,Strategy,Data Privacy,Active,2024,8,44,45,Moderate,High,21,4396,Supportive,5,35,No Alert,v1.8,BRA,Africa,AI Ethics Board,Digital Affairs Agency,2024-07-23,2025-01-13,2025-08-24,9,Medium,80,6,Closed,2026-07-06,2024-10-29
2018,8,Pakistan,Asia,22,21,18,32,ChatGPT,45,0.55,Active,25,17,No,9,AIP-00437,AI Framework 12,Guidance,Transparency,Active,2020,6,60,68,Strong,Low,94,2580,Supportive,5,71,Amendment,v2.2,PAK,Oceania,Legal Database,Ministry of Technology,2020-05-21,2020-06-20,2023-03-29,76,Low,78,28,Closed,2022-04-27,2020-07-22
2018,8,Nigeria,Africa,16,22,19,44,Khanmigo,42,0.52,Draft,17,10,No,10,AIP-00438,AI Framework 13,Regulation,Transparency,Active,2021,1,73,67,Strong,Low,33,2539,Supportive,5,81,New Policy,v1.8,NIG,North America,Legal Database,Digital Affairs Agency,2021-12-24,2022-05-09,2022-12-29,44,Medium,85,50,Under Review,2022-03-18,2021-12-31
2018,8,Canada,North America,19,16,20,28,Microsoft Copilot,94,0.92,,20,5,Yes,2,AIP-00439,AI Framework 14,Guidance,Data Privacy,Active,2023,7,42,52,Moderate,Low,39,965,Neutral,0,39,New Policy,v1.7,CAN,Asia,AI Ethics Board,Ministry of Technology,2023-10-09,2024-02-02,2026-02-27,37,Medium,82,30,Open,2024-03-28,2023-12-05
2018,8,Australia,Oceania,24,21,22,53,ChatGPT,96,0.93,Active,27,14,Yes,4,AIP-00440,AI Framework 15,Legislation,Data Privacy,Active,2020,6,54,51,Weak,Medium,47,4806,Supportive,6,47,No Alert,v2.4,AUS,Oceania,AI Ethics Board,Ministry of Technology,2020-05-28,2020-10-06,2022-07-25,73,Medium,69,3,Open,2021-09-24,2020-08-21
2018,9,United States,North America,21,22,16,10,Khanmigo,90,0.9,Draft,21,15,Yes,2,AIP-00441,AI Framework 16,Legislation,Ethics,Draft,2025,6,75,79,Strong,Low,57,3379,Supportive,5,80,New Policy,v2.0,UNI,Africa,Legal Database,Digital Affairs Agency,2025-02-24,2025-03-26,2027-06-02,87,Medium,81,43,Open,2026-03-30,2025-05-05
2018,9,United Kingdom,Europe,20,20,15,39,Khanmigo,92,0.91,,23,12,Yes,1,AIP-00442,AI Framework 17,Legislation,Data Privacy,Active,2020,2,50,54,Strong,Low,68,1494,Neutral,0,51,New Policy,v1.1,UNI,North America,Regulatory Authority,Digital Affairs Agency,2020-05-10,2020-07-03,2022-06-25,51,Medium,95,32,Open,2021-08-02,2020-07-03
2018,9,China,Asia,20,20,16,9,ChatGPT,70,0.75,,24,14,Yes,9,AIP-00443,AI Framework 18,Strategy,Transparency,Active,2019,5,44,37,Moderate,Medium,45,4206,Supportive,7,36,Amendment,v1.1,CHI,South America,Regulatory Authority,Data Protection Authority,2019-12-17,2020-05-15,2021-01-13,63,High,61,46,Open,2021-08-26,2020-02-16
2018,9,India,Asia,15,19,20,55,Khanmigo,50,0.64,Draft,18,1,Yes,3,AIP-00444,AI Framework 19,Strategy,Ethics,Active,2018,7,57,47,Moderate,Low,84,1207,Neutral,6,43,No Alert,v1.7,IND,Asia,AI Ethics Board,AI Commission,2018-08-28,2018-09-20,2020-11-24,66,Low,51,47,Under Review,2019-01-02,2018-11-11
2018,9,Germany,Europe,17,19,18,15,Google Gemini,93,0.94,,21,8,No,5,AIP-00445,AI Framework 20,Guidance,Education,Active,2024,7,58,67,Weak,Medium,32,529,Restrictive,5,68,New Policy,v1.6,GER,North America,Regulatory Authority,Data Protection Authority,2024-10-10,2025-03-13,2026-08-08,100,Medium,95,1,Open,2026-07-08,2024-12-06
2018,9,Brazil,South America,24,17,16,5,Khanmigo,75,0.7,Draft,28,17,No,9,AIP-00446,AI Framework 21,Guidance,Data Privacy,Active,2018,7,63,67,Moderate,Medium,97,3367,Restrictive,3,74,New Policy,v2.2,BRA,Africa,Government Portal,Data Protection Authority,2018-07-26,2018-11-02,2020-03-19,20,Medium,51,30,Open,2019-03-29,2018-09-28
2018,9,Pakistan,Asia,16,23,16,27,Khanmigo,45,0.55,Active,19,11,No,6,AIP-00447,AI Framework 22,Legislation,Ethics,Repealed,2025,10,51,54,Weak,High,89,3754,Restrictive,6,64,No Alert,v1.3,PAK,Africa,Government Portal,AI Commission,2025-10-10,2026-01-28,2028-02-29,86,High,60,45,Under Review,2026-10-09,2025-11-12
2018,9,Nigeria,Africa,19,21,17,38,ChatGPT,42,0.52,,24,5,Yes,3,AIP-00448,AI Framework 23,Guidance,Data Privacy,Active,2026,6,74,70,Weak,Low,68,2885,Supportive,2,70,No Alert,v1.3,NIG,Oceania,AI Ethics Board,AI Commission,2026-10-08,2026-10-25,2028-06-08,76,Low,76,6,Open,2028-07-11,2026-11-15
2018,9,Canada,North America,17,18,19,39,Google Gemini,94,0.92,Active,20,3,No,3,AIP-00449,AI Framework 24,Guidance,Ethics,Active,2019,5,58,50,Strong,Low,23,3581,Neutral,5,64,New Policy,v2.6,CAN,South America,Government Portal,Ministry of Technology,2019-11-19,2020-03-04,2021-01-07,5,High,87,22,Open,2020-02-06,2020-02-26
2018,9,Australia,Oceania,16,22,18,25,Google Gemini,96,0.93,Draft,16,10,Yes,10,AIP-00450,AI Framework 25,Regulation,Ethics,Repealed,2018,6,50,45,Moderate,Medium,79,1292,Supportive,4,53,No Alert,v2.3,AUS,North America,Regulatory Authority,Digital Affairs Agency,2018-10-10,2019-01-28,2021-08-19,58,Low,55,38,Open,2019-04-17,2019-01-25
2018,10,United States,North America,22,22,15,50,ChatGPT,90,0.9,Active,24,17,No,4,AIP-00451,AI Framework 1,Guidance,Governance,Active,2026,4,74,75,Strong,Low,77,1424,Supportive,4,67,No Alert,v1.7,UNI,South America,Government Portal,Ministry of Technology,2026-02-09,2026-05-11,2027-06-24,95,High,90,48,Closed,2027-11-14,2026-04-06
2018,10,United Kingdom,Europe,24,15,17,40,Google Gemini,92,0.91,,29,11,Yes,3,AIP-00452,AI Framework 2,Legislation,Ethics,Active,2019,4,73,77,Moderate,Low,70,1887,Restrictive,6,86,No Alert,v3.6,UNI,Oceania,Legal Database,Digital Affairs Agency,2019-06-07,2019-09-08,2021-12-23,36,Medium,100,29,Closed,2020-04-23,2019-08-12
2018,10,China,Asia,23,21,16,9,Microsoft Copilot,70,0.75,,28,11,No,10,AIP-00453,AI Framework 3,Strategy,Education,Active,2021,7,57,53,Weak,Medium,42,1077,Supportive,1,52,No Alert,v3.2,CHI,Asia,Legal Database,AI Commission,2021-12-26,2022-05-30,2024-02-12,24,Medium,83,24,Under Review,2023-09-09,2022-01-06
2018,10,India,Asia,18,22,19,18,ChatGPT,50,0.64,Draft,18,13,No,4,AIP-00454,AI Framework 4,Strategy,Data Privacy,Draft,2025,4,40,34,Moderate,Low,54,1203,Supportive,0,25,No Alert,v2.3,IND,Asia,Legal Database,AI Commission,2025-07-27,2025-09-17,2027-05-19,45,Medium,78,19,Under Review,2025-12-25,2025-09-12
2018,10,Germany,Europe,24,20,20,38,Microsoft Copilot,93,0.94,Draft,26,10,Yes,6,AIP-00455,AI Framework 5,Guidance,Data Privacy,Active,2019,8,61,56,Weak,Low,53,285,Neutral,4,51,New Policy,v2.5,GER,Africa,Regulatory Authority,Data Protection Authority,2019-06-13,2019-07-08,2022-05-09,65,Medium,65,24,Closed,2021-06-11,2019-09-13
2018,10,Brazil,South America,21,19,22,21,Khanmigo,75,0.7,Active,26,10,No,4,AIP-00456,AI Framework 6,Regulation,Data Privacy,Active,2023,8,59,69,Moderate,Medium,69,1223,Supportive,6,74,No Alert,v3.9,BRA,Europe,Legal Database,AI Commission,2023-12-12,2024-04-04,2026-04-11,43,Medium,63,26,Closed,2025-09-21,2024-02-04
2018,10,Pakistan,Asia,16,20,17,17,Microsoft Copilot,45,0.55,Draft,18,8,Yes,10,AIP-00457,AI Framework 7,Regulation,Transparency,Active,2021,10,45,48,Strong,High,46,2759,Restrictive,2,32,New Policy,v2.1,PAK,South America,Regulatory Authority,Ministry of Technology,2021-08-25,2021-09-30,2023-12-18,49,High,54,49,Open,2021-11-03,2021-11-03
2018,10,Nigeria,Africa,21,18,21,13,Microsoft Copilot,42,0.52,,22,12,No,3,AIP-00458,AI Framework 8,Guidance,Data Privacy,Active,2021,2,62,72,Strong,Low,52,1869,Restrictive,4,63,No Alert,v1.3,NIG,North America,Government Portal,Ministry of Technology,2021-05-05,2021-06-12,2022-11-19,10,Medium,83,30,Closed,2022-02-02,2021-05-08
2018,10,Canada,North America,20,17,17,30,Khanmigo,94,0.92,Active,22,14,No,8,AIP-00459,AI Framework 9,Legislation,Data Privacy,Draft,2026,4,70,60,Strong,Medium,93,2174,Neutral,7,70,Amendment,v2.5,CAN,Africa,Legal Database,AI Commission,2026-05-15,2026-11-07,2027-05-24,20,Medium,50,48,Open,2028-03-23,2026-08-27
2018,10,Australia,Oceania,20,22,18,32,Microsoft Copilot,96,0.93,,21,5,No,10,AIP-00460,AI Framework 10,Strategy,Transparency,Repealed,2023,8,43,42,Strong,High,56,4624,Neutral,4,52,No Alert,v2.3,AUS,North America,AI Ethics Board,Data Protection Authority,2023-04-23,2023-07-05,2024-05-01,22,High,54,21,Open,2024-10-30,2023-08-13
2018,11,United States,North America,17,23,20,15,Khanmigo,90,0.9,Draft,18,2,No,10,AIP-00461,AI Framework 11,Strategy,Education,Draft,2020,5,66,65,Strong,Low,68,81,Restrictive,0,76,No Alert,v3.2,UNI,Asia,Regulatory Authority,Ministry of Technology,2020-05-21,2020-09-17,2022-03-28,3,High,87,2,Closed,2021-10-14,2020-07-12
2018,11,United Kingdom,Europe,15,18,22,18,Microsoft Copilot,92,0.91,Draft,15,10,No,1,AIP-00462,AI Framework 12,Regulation,Education,Active,2026,7,45,43,Moderate,Medium,93,4182,Neutral,7,44,No Alert,v1.4,UNI,Oceania,Regulatory Authority,Digital Affairs Agency,2026-09-24,2026-10-12,2028-03-01,87,High,96,24,Closed,2027-03-12,2026-11-04
2018,11,China,Asia,17,22,15,6,Microsoft Copilot,70,0.75,Active,17,9,Yes,3,AIP-00463,AI Framework 13,Legislation,Data Privacy,Active,2023,8,66,64,Strong,Low,96,213,Neutral,7,70,Amendment,v2.1,CHI,Asia,Government Portal,AI Commission,2023-12-25,2024-04-23,2025-12-24,11,Medium,90,28,Closed,2025-08-23,2024-02-09
2018,11,India,Asia,25,16,15,33,Khanmigo,50,0.64,Draft,28,18,Yes,5,AIP-00464,AI Framework 14,Guidance,Education,Active,2018,9,55,46,Moderate,High,65,2586,Restrictive,5,65,No Alert,v1.6,IND,Oceania,Legal Database,AI Commission,2018-03-26,2018-09-07,2020-10-15,94,Medium,52,42,Closed,2018-06-20,2018-05-17
2018,11,Germany,Europe,23,18,21,28,Google Gemini,93,0.94,,27,10,No,3,AIP-00465,AI Framework 15,Regulation,Transparency,Draft,2021,3,40,30,Weak,Low,41,694,Neutral,4,50,No Alert,v1.8,GER,Asia,Government Portal,Data Protection Authority,2021-08-22,2021-09-21,2023-04-27,26,Medium,97,36,Closed,2023-08-15,2021-10-27
2018,11,Brazil,South America,16,19,21,6,Microsoft Copilot,75,0.7,Active,19,8,Yes,2,AIP-00466,AI Framework 16,Legislation,Ethics,Active,2020,3,74,80,Strong,Low,28,2414,Supportive,4,86,Amendment,v2.9,BRA,South America,AI Ethics Board,Data Protection Authority,2020-02-13,2020-06-30,2022-03-30,98,Low,68,41,Closed,2021-06-08,2020-06-07
2018,11,Pakistan,Asia,21,16,20,26,Khanmigo,45,0.55,,22,8,Yes,3,AIP-00467,AI Framework 17,Regulation,Transparency,Active,2023,5,45,44,Strong,High,89,4478,Supportive,4,51,Amendment,v1.4,PAK,Oceania,Regulatory Authority,Data Protection Authority,2023-06-23,2023-11-03,2026-01-04,84,Medium,78,16,Closed,2024-12-02,2023-06-27
2018,11,Nigeria,Africa,16,19,21,23,ChatGPT,42,0.52,Draft,16,1,No,9,AIP-00468,AI Framework 18,Guidance,Ethics,Active,2025,6,61,54,Weak,Medium,62,205,Supportive,2,57,No Alert,v2.2,NIG,Africa,Government Portal,AI Commission,2025-02-28,2025-07-07,2027-01-03,70,Low,89,44,Under Review,2026-06-04,2025-03-23
2018,11,Canada,North America,23,17,18,13,Microsoft Copilot,94,0.92,Draft,27,11,No,9,AIP-00469,AI Framework 19,Legislation,Governance,Draft,2018,10,46,43,Strong,Low,65,2558,Restrictive,5,48,No Alert,v2.3,CAN,Europe,Government Portal,AI Commission,2018-03-08,2018-08-19,2020-12-25,54,Medium,80,31,Under Review,2020-01-23,2018-07-01
2018,11,Australia,Oceania,17,20,16,6,Khanmigo,96,0.93,Draft,20,6,No,6,AIP-00470,AI Framework 20,Guidance,Governance,Draft,2025,1,73,82,Weak,Medium,97,2338,Supportive,4,80,New Policy,v1.2,AUS,South America,AI Ethics Board,AI Commission,2025-08-15,2025-12-11,2026-10-12,92,Low,64,36,Under Review,2026-08-29,2025-12-05
2018,12,United States,North America,18,23,17,52,Microsoft Copilot,90,0.9,Active,21,7,No,9,AIP-00471,AI Framework 21,Legislation,Ethics,Active,2026,3,66,65,Strong,High,50,2283,Restrictive,6,60,New Policy,v1.5,UNI,Europe,Government Portal,Ministry of Technology,2026-07-11,2026-10-25,2027-10-06,31,High,81,20,Closed,2027-10-13,2026-07-27
2018,12,United Kingdom,Europe,16,16,21,42,Google Gemini,92,0.91,,21,8,No,5,AIP-00472,AI Framework 22,Guidance,Governance,Draft,2026,10,68,78,Strong,Medium,28,3137,Supportive,6,83,No Alert,v1.1,UNI,Oceania,Government Portal,Ministry of Technology,2026-08-07,2027-01-12,2027-08-22,27,High,63,32,Under Review,2028-01-07,2026-09-17
